DateOfBirth|DateOfBirthDate|Age
1/13/1936|1936-01-13|82
1/5/1989|1989-01-05|29
12/12/1949|1949-12-12|69
10/18/1986|1986-10-18|32
5/7/1971|1971-05-07|47
7/29/1997|1997-07-29|21
5/9/2007|2007-05-09|11
11/1/2017|2017-11-01|1
12/3/1945|1945-12-03|73
11/17/1939|1939-11-17|79
10/22/2012|2012-10-22|6
5/9/2013|2013-05-09|5
6/8/2010|2010-06-08|8
11/28/1936|1936-11-28|82
10/7/1956|1956-10-07|62
8/16/1951|1951-08-16|67
6/26/1980|1980-06-26|38
3/15/2016|2016-03-15|2
5/20/1956|1956-05-20|62
9/26/1966|1966-09-26|52
2/19/1971|1971-02-19|47
11/6/2007|2007-11-06|11
4/21/1955|1955-04-21|63
12/2/1945|1945-12-02|73
10/25/1966|1966-10-25|52
2/9/2006|2006-02-09|12
8/30/1954|1954-08-30|64
4/17/1986|1986-04-17|32
8/28/1974|1974-08-28|44
12/22/1986|1986-12-22|32
7/30/1992|1992-07-30|26
3/12/2017|2017-03-12|1
10/23/2001|2001-10-23|17
12/13/1962|1962-12-13|56
7/27/1962|1962-07-27|56
3/11/1993|1993-03-11|25
5/4/1948|1948-05-04|70
9/14/2011|2011-09-14|7
7/12/1974|1974-07-12|44
10/6/1976|1976-10-06|42
6/2/1982|1982-06-02|36
12/6/1972|1972-12-06|46
10/21/1983|1983-10-21|35
10/23/1973|1973-10-23|45
11/13/1957|1957-11-13|61
9/7/2007|2007-09-07|11
7/2/1989|1989-07-02|29
11/5/1937|1937-11-05|81
7/4/2015|2015-07-04|3
12/11/1956|1956-12-11|62
11/15/1979|1979-11-15|39
1/1/1998|1998-01-01|20
2/19/1938|1938-02-19|80
1/6/2013|2013-01-06|5
11/9/1991|1991-11-09|27
4/24/1979|1979-04-24|39
3/3/1962|1962-03-03|56
5/16/1956|1956-05-16|62
5/1/1945|1945-05-01|73
1/25/2003|2003-01-25|15
7/27/1968|1968-07-27|50
8/23/1971|1971-08-23|47
4/7/1967|1967-04-07|51
11/6/1942|1942-11-06|76
10/14/1982|1982-10-14|36
3/7/1979|1979-03-07|39
7/15/1955|1955-07-15|63
5/10/2017|2017-05-10|1
10/7/1934|1934-10-07|84
3/25/1969|1969-03-25|49
10/16/1996|1996-10-16|22
9/18/2000|2000-09-18|18
10/17/1937|1937-10-17|81
12/29/1944|1944-12-29|74
4/12/1933|1933-04-12|85
7/1/1990|1990-07-01|28
12/1/1997|1997-12-01|21
2/20/1998|1998-02-20|20
6/8/1950|1950-06-08|68
8/18/1978|1978-08-18|40
7/7/2017|2017-07-07|1
8/15/2015|2015-08-15|3
2/10/1939|1939-02-10|79
3/2/1997|1997-03-02|21
1/28/1997|1997-01-28|21
11/19/2015|2015-11-19|3
3/17/2001|2001-03-17|17
11/24/1964|1964-11-24|54
1/16/1935|1935-01-16|83
7/12/1941|1941-07-12|77
1/1/1945|1945-01-01|73
4/10/1964|1964-04-10|54
7/1/1995|1995-07-01|23
10/15/1996|1996-10-15|22
10/18/1952|1952-10-18|66
4/22/1959|1959-04-22|59
9/14/1964|1964-09-14|54
11/26/1938|1938-11-26|80
4/28/1997|1997-04-28|21
12/7/1968|1968-12-07|50
7/8/1940|1940-07-08|78
8/21/1953|1953-08-21|65
11/19/1968|1968-11-19|50
10/13/1966|1966-10-13|52
9/21/1971|1971-09-21|47
3/15/1993|1993-03-15|25
1/9/2001|2001-01-09|17
10/21/2000|2000-10-21|18
9/24/2004|2004-09-24|14
6/2/2004|2004-06-02|14
2/5/1997|1997-02-05|21
10/16/2016|2016-10-16|2
11/2/1952|1952-11-02|66
1/29/1977|1977-01-29|41
1/30/2001|2001-01-30|17
5/21/1975|1975-05-21|43
2/9/1937|1937-02-09|81
9/20/1965|1965-09-20|53
11/14/2016|2016-11-14|2
1/17/2010|2010-01-17|8
6/17/1945|1945-06-17|73
9/11/1956|1956-09-11|62
9/17/2017|2017-09-17|1
4/24/1975|1975-04-24|43
7/20/2007|2007-07-20|11
11/17/2001|2001-11-17|17
1/28/1991|1991-01-28|27
9/17/1942|1942-09-17|76
6/5/1968|1968-06-05|50
5/14/1988|1988-05-14|30
6/25/1938|1938-06-25|80
6/23/2001|2001-06-23|17
2/26/1964|1964-02-26|54
7/24/2010|2010-07-24|8
2/8/1979|1979-02-08|39
10/21/1979|1979-10-21|39
9/24/2001|2001-09-24|17
2/13/2007|2007-02-13|11
10/21/2004|2004-10-21|14
5/3/2014|2014-05-03|4
12/30/1961|1961-12-30|57
1/22/1983|1983-01-22|35
12/6/1937|1937-12-06|81
8/13/1950|1950-08-13|68
6/23/1985|1985-06-23|33
5/24/2001|2001-05-24|17
9/11/1949|1949-09-11|69
8/26/1934|1934-08-26|84
3/23/1978|1978-03-23|40
2/12/2014|2014-02-12|4
5/2/1938|1938-05-02|80
12/6/1993|1993-12-06|25
4/7/2000|2000-04-07|18
8/26/2001|2001-08-26|17
4/6/2011|2011-04-06|7
3/18/1936|1936-03-18|82
10/9/2003|2003-10-09|15
4/11/1942|1942-04-11|76
6/9/1935|1935-06-09|83
4/9/1957|1957-04-09|61
1/22/1943|1943-01-22|75
11/24/1967|1967-11-24|51
2/14/1999|1999-02-14|19
8/6/2000|2000-08-06|18
10/2/2012|2012-10-02|6
3/22/1970|1970-03-22|48
7/29/1996|1996-07-29|22
4/13/1954|1954-04-13|64
11/24/1975|1975-11-24|43
5/27/1999|1999-05-27|19
5/10/1999|1999-05-10|19
4/29/2005|2005-04-29|13
11/16/1983|1983-11-16|35
5/18/1997|1997-05-18|21
12/5/2015|2015-12-05|3
1/7/1957|1957-01-07|61
5/23/1962|1962-05-23|56
1/16/1950|1950-01-16|68
3/14/1998|1998-03-14|20
1/15/1967|1967-01-15|51
7/9/1945|1945-07-09|73
7/10/2001|2001-07-10|17
10/5/1954|1954-10-05|64
1/9/1959|1959-01-09|59
9/27/1993|1993-09-27|25
8/9/1957|1957-08-09|61
7/24/1954|1954-07-24|64
4/18/1940|1940-04-18|78
8/30/1971|1971-08-30|47
9/29/1988|1988-09-29|30
11/11/1969|1969-11-11|49
9/15/1990|1990-09-15|28
2/3/1984|1984-02-03|34
3/8/1958|1958-03-08|60
7/4/1954|1954-07-04|64
6/25/1951|1951-06-25|67
7/28/1957|1957-07-28|61
3/24/1944|1944-03-24|74
4/22/1940|1940-04-22|78
8/25/1996|1996-08-25|22
9/12/1950|1950-09-12|68
1/4/1958|1958-01-04|60
6/20/1968|1968-06-20|50
5/16/1988|1988-05-16|30
7/26/1975|1975-07-26|43
3/20/1975|1975-03-20|43
6/28/1942|1942-06-28|76
9/6/1960|1960-09-06|58
5/29/1980|1980-05-29|38
11/11/1960|1960-11-11|58
12/7/1966|1966-12-07|52
3/12/1984|1984-03-12|34
10/22/2015|2015-10-22|3
4/9/1970|1970-04-09|48
7/8/1981|1981-07-08|37
2/6/2017|2017-02-06|1
5/29/1950|1950-05-29|68
6/8/2016|2016-06-08|2
6/4/1964|1964-06-04|54
1/3/1984|1984-01-03|34
3/7/1947|1947-03-07|71
8/21/1961|1961-08-21|57
12/10/1939|1939-12-10|79
7/17/2002|2002-07-17|16
10/2/1974|1974-10-02|44
12/18/1974|1974-12-18|44
8/2/2005|2005-08-02|13
6/25/1936|1936-06-25|82
9/7/1936|1936-09-07|82
9/9/1988|1988-09-09|30
3/10/1953|1953-03-10|65
5/13/1954|1954-05-13|64
1/23/1991|1991-01-23|27
5/22/1973|1973-05-22|45
2/14/1936|1936-02-14|82
12/8/1983|1983-12-08|35
3/25/1977|1977-03-25|41
12/29/1960|1960-12-29|58
6/9/1977|1977-06-09|41
3/3/1950|1950-03-03|68
2/6/1957|1957-02-06|61
3/19/2006|2006-03-19|12
2/12/2009|2009-02-12|9
1/14/1976|1976-01-14|42
7/29/2006|2006-07-29|12
7/6/1995|1995-07-06|23
7/11/1957|1957-07-11|61
7/23/2013|2013-07-23|5
2/24/1996|1996-02-24|22
3/25/1997|1997-03-25|21
12/21/1996|1996-12-21|22
10/13/1940|1940-10-13|78
4/8/1950|1950-04-08|68
1/20/1981|1981-01-20|37
2/26/1956|1956-02-26|62
7/28/1988|1988-07-28|30
5/3/1990|1990-05-03|28
6/18/1991|1991-06-18|27
7/3/1997|1997-07-03|21
7/23/1951|1951-07-23|67
8/6/1995|1995-08-06|23
10/3/1938|1938-10-03|80
12/2/1938|1938-12-02|80
3/11/1973|1973-03-11|45
7/18/1986|1986-07-18|32
12/28/1957|1957-12-28|61
4/9/1967|1967-04-09|51
5/21/1993|1993-05-21|25
2/21/1940|1940-02-21|78
3/1/1954|1954-03-01|64
12/7/1962|1962-12-07|56
6/25/2014|2014-06-25|4
7/4/1944|1944-07-04|74
3/24/1934|1934-03-24|84
2/2/1946|1946-02-02|72
7/29/2011|2011-07-29|7
12/13/1991|1991-12-13|27
10/29/1945|1945-10-29|73
4/22/1966|1966-04-22|52
5/19/1970|1970-05-19|48
9/11/2010|2010-09-11|8
9/10/2007|2007-09-10|11
3/15/1988|1988-03-15|30
4/1/1943|1943-04-01|75
1/26/1961|1961-01-26|57
7/7/1946|1946-07-07|72
4/3/1973|1973-04-03|45
8/19/1961|1961-08-19|57
4/7/1993|1993-04-07|25
12/16/2001|2001-12-16|17
1/5/1997|1997-01-05|21
6/25/1982|1982-06-25|36
3/2/1994|1994-03-02|24
6/19/1991|1991-06-19|27
10/23/1963|1963-10-23|55
4/16/1963|1963-04-16|55
3/17/1949|1949-03-17|69
3/29/1954|1954-03-29|64
6/25/1966|1966-06-25|52
1/28/1940|1940-01-28|78
11/2/1991|1991-11-02|27
12/2/2001|2001-12-02|17
12/25/2015|2015-12-25|3
6/28/1991|1991-06-28|27
8/12/1945|1945-08-12|73
10/10/2009|2009-10-10|9
10/2/1945|1945-10-02|73
3/19/1959|1959-03-19|59
3/13/1989|1989-03-13|29
1/5/1954|1954-01-05|64
9/26/1978|1978-09-26|40
9/16/1976|1976-09-16|42
9/8/2006|2006-09-08|12
12/4/1949|1949-12-04|69
1/16/1966|1966-01-16|52
12/4/1967|1967-12-04|51
5/30/1954|1954-05-30|64
4/23/1982|1982-04-23|36
7/23/1972|1972-07-23|46
6/28/1976|1976-06-28|42
3/14/1986|1986-03-14|32
5/30/1935|1935-05-30|83
9/26/1965|1965-09-26|53
7/29/1973|1973-07-29|45
1/5/1991|1991-01-05|27
9/27/1948|1948-09-27|70
7/5/1943|1943-07-05|75
9/28/1961|1961-09-28|57
4/23/1963|1963-04-23|55
10/12/1959|1959-10-12|59
11/21/1954|1954-11-21|64
8/6/1969|1969-08-06|49
2/6/1944|1944-02-06|74
5/21/1957|1957-05-21|61
2/2/2007|2007-02-02|11
3/21/1965|1965-03-21|53
2/22/2009|2009-02-22|9
2/21/1941|1941-02-21|77
7/17/1963|1963-07-17|55
1/11/1985|1985-01-11|33
3/3/1997|1997-03-03|21
11/17/1942|1942-11-17|76
7/10/1978|1978-07-10|40
5/28/1978|1978-05-28|40
12/20/1987|1987-12-20|31
6/14/2008|2008-06-14|10
1/26/1975|1975-01-26|43
4/5/1955|1955-04-05|63
11/20/2000|2000-11-20|18
6/22/1960|1960-06-22|58
10/25/2014|2014-10-25|4
12/26/1985|1985-12-26|33
7/27/1933|1933-07-27|85
3/2/2017|2017-03-02|1
2/7/1988|1988-02-07|30
6/26/1981|1981-06-26|37
1/18/1940|1940-01-18|78
10/25/1935|1935-10-25|83
12/27/2008|2008-12-27|10
1/19/1975|1975-01-19|43
10/13/1989|1989-10-13|29
8/27/1989|1989-08-27|29
7/28/1992|1992-07-28|26
11/9/1999|1999-11-09|19
12/12/1969|1969-12-12|49
7/22/2005|2005-07-22|13
5/5/2009|2009-05-05|9
11/26/1946|1946-11-26|72
8/19/2004|2004-08-19|14
8/2/1938|1938-08-02|80
9/3/1991|1991-09-03|27
6/9/1973|1973-06-09|45
10/25/1983|1983-10-25|35
3/7/1965|1965-03-07|53
7/4/1937|1937-07-04|81
3/30/1972|1972-03-30|46
2/8/1948|1948-02-08|70
10/10/2002|2002-10-10|16
12/9/1945|1945-12-09|73
4/13/1973|1973-04-13|45
12/28/2012|2012-12-28|6
1/8/1934|1934-01-08|84
11/26/1939|1939-11-26|79
5/7/1996|1996-05-07|22
1/26/1945|1945-01-26|73
3/12/1959|1959-03-12|59
1/23/1984|1984-01-23|34
3/28/1981|1981-03-28|37
8/22/1979|1979-08-22|39
1/23/2016|2016-01-23|2
9/29/1991|1991-09-29|27
11/1/1937|1937-11-01|81
2/11/1933|1933-02-11|85
5/15/1950|1950-05-15|68
6/16/1947|1947-06-16|71
7/7/1949|1949-07-07|69
9/5/2014|2014-09-05|4
9/19/1975|1975-09-19|43
7/29/1950|1950-07-29|68
1/30/1948|1948-01-30|70
10/16/1995|1995-10-16|23
12/2/1947|1947-12-02|71
3/12/2006|2006-03-12|12
9/6/1981|1981-09-06|37
12/21/2013|2013-12-21|5
4/12/2015|2015-04-12|3
3/30/2002|2002-03-30|16
10/13/2005|2005-10-13|13
8/25/1956|1956-08-25|62
12/10/1981|1981-12-10|37
12/4/1981|1981-12-04|37
11/26/1990|1990-11-26|28
10/4/1939|1939-10-04|79
6/13/1981|1981-06-13|37
3/8/1950|1950-03-08|68
9/26/1967|1967-09-26|51
2/18/1942|1942-02-18|76
2/11/1949|1949-02-11|69
6/17/1935|1935-06-17|83
3/3/2016|2016-03-03|2
1/7/1969|1969-01-07|49
5/20/1936|1936-05-20|82
5/29/2007|2007-05-29|11
12/14/1980|1980-12-14|38
4/9/1982|1982-04-09|36
1/22/1974|1974-01-22|44
3/11/1961|1961-03-11|57
3/25/1970|1970-03-25|48
11/21/1988|1988-11-21|30
5/15/1965|1965-05-15|53
2/27/2017|2017-02-27|1
3/4/1993|1993-03-04|25
2/26/2008|2008-02-26|10
11/15/1956|1956-11-15|62
3/4/1934|1934-03-04|84
2/24/2006|2006-02-24|12
7/10/2007|2007-07-10|11
2/4/1945|1945-02-04|73
12/10/2006|2006-12-10|12
12/23/1940|1940-12-23|78
5/1/1989|1989-05-01|29
11/25/1961|1961-11-25|57
8/17/1986|1986-08-17|32
7/29/1957|1957-07-29|61
12/8/1951|1951-12-08|67
8/19/1964|1964-08-19|54
5/19/1996|1996-05-19|22
11/6/1946|1946-11-06|72
3/10/1968|1968-03-10|50
10/14/1997|1997-10-14|21
6/26/1974|1974-06-26|44
6/22/1983|1983-06-22|35
8/25/1964|1964-08-25|54
6/4/1977|1977-06-04|41
10/28/1953|1953-10-28|65
11/17/1938|1938-11-17|80
4/19/1979|1979-04-19|39
6/18/1996|1996-06-18|22
11/7/1961|1961-11-07|57
2/1/1960|1960-02-01|58
12/25/1945|1945-12-25|73
1/4/1966|1966-01-04|52
11/23/1985|1985-11-23|33
3/28/2012|2012-03-28|6
3/2/2011|2011-03-02|7
3/28/1942|1942-03-28|76
8/18/1968|1968-08-18|50
7/20/1977|1977-07-20|41
4/19/1988|1988-04-19|30
3/5/1983|1983-03-05|35
7/2/1934|1934-07-02|84
2/1/1980|1980-02-01|38
12/13/1975|1975-12-13|43
10/25/1963|1963-10-25|55
2/18/2010|2010-02-18|8
5/28/2005|2005-05-28|13
12/21/1948|1948-12-21|70
2/10/1946|1946-02-10|72
1/17/1952|1952-01-17|66
8/22/1991|1991-08-22|27
6/24/1937|1937-06-24|81
11/8/1962|1962-11-08|56
3/14/1976|1976-03-14|42
8/29/2013|2013-08-29|5
11/23/1956|1956-11-23|62
3/10/1944|1944-03-10|74
5/2/1946|1946-05-02|72
6/12/1978|1978-06-12|40
5/1/1940|1940-05-01|78
6/19/2004|2004-06-19|14
8/5/1993|1993-08-05|25
9/8/1973|1973-09-08|45
10/10/1955|1955-10-10|63
1/5/1978|1978-01-05|40
8/25/1950|1950-08-25|68
6/9/2008|2008-06-09|10
7/4/1986|1986-07-04|32
10/24/1992|1992-10-24|26
4/12/2010|2010-04-12|8
4/27/1961|1961-04-27|57
11/16/1953|1953-11-16|65
10/11/2000|2000-10-11|18
7/4/1970|1970-07-04|48
7/12/1991|1991-07-12|27
5/15/1951|1951-05-15|67
4/18/1953|1953-04-18|65
10/24/1957|1957-10-24|61
9/23/1961|1961-09-23|57
7/4/1980|1980-07-04|38
11/9/2007|2007-11-09|11
4/10/1957|1957-04-10|61
9/27/1985|1985-09-27|33
3/7/1943|1943-03-07|75
6/20/2017|2017-06-20|1
5/28/1939|1939-05-28|79
5/3/1974|1974-05-03|44
1/21/1945|1945-01-21|73
6/26/1995|1995-06-26|23
11/13/2010|2010-11-13|8
11/12/1984|1984-11-12|34
2/26/1940|1940-02-26|78
7/30/1947|1947-07-30|71
9/28/1953|1953-09-28|65
3/16/1984|1984-03-16|34
8/11/1947|1947-08-11|71
4/11/1998|1998-04-11|20
7/15/1957|1957-07-15|61
4/6/2006|2006-04-06|12
6/10/1958|1958-06-10|60
11/8/1966|1966-11-08|52
11/27/1989|1989-11-27|29
11/7/2002|2002-11-07|16
5/6/1999|1999-05-06|19
4/19/1964|1964-04-19|54
8/17/1937|1937-08-17|81
1/20/1936|1936-01-20|82
1/17/1941|1941-01-17|77
1/12/1980|1980-01-12|38
6/18/2015|2015-06-18|3
11/9/1948|1948-11-09|70
5/2/1993|1993-05-02|25
5/1/1995|1995-05-01|23
4/15/2001|2001-04-15|17
7/7/1990|1990-07-07|28
10/8/1981|1981-10-08|37
9/18/1988|1988-09-18|30
8/5/2016|2016-08-05|2
3/4/1940|1940-03-04|78
4/16/2017|2017-04-16|1
2/25/1940|1940-02-25|78
9/8/2012|2012-09-08|6
8/20/1940|1940-08-20|78
11/4/1959|1959-11-04|59
12/23/2002|2002-12-23|16
7/27/1991|1991-07-27|27
11/19/1976|1976-11-19|42
4/8/1967|1967-04-08|51
10/11/2015|2015-10-11|3
12/7/2002|2002-12-07|16
3/8/1955|1955-03-08|63
5/24/2008|2008-05-24|10
9/18/1951|1951-09-18|67
3/27/1952|1952-03-27|66
1/10/1966|1966-01-10|52
5/10/2016|2016-05-10|2
11/28/2008|2008-11-28|10
9/21/1955|1955-09-21|63
9/12/1989|1989-09-12|29
12/25/1980|1980-12-25|38
2/7/1950|1950-02-07|68
10/11/1944|1944-10-11|74
9/9/1957|1957-09-09|61
2/16/1960|1960-02-16|58
10/19/1953|1953-10-19|65
6/17/2007|2007-06-17|11
8/11/1944|1944-08-11|74
11/12/1979|1979-11-12|39
8/16/1954|1954-08-16|64
7/14/1940|1940-07-14|78
11/8/1964|1964-11-08|54
3/29/2011|2011-03-29|7
8/17/1968|1968-08-17|50
3/29/2006|2006-03-29|12
7/26/1973|1973-07-26|45
8/20/1980|1980-08-20|38
1/15/1974|1974-01-15|44
6/9/1984|1984-06-09|34
11/26/1965|1965-11-26|53
4/19/1970|1970-04-19|48
8/17/1943|1943-08-17|75
9/8/1986|1986-09-08|32
12/4/1952|1952-12-04|66
4/19/1978|1978-04-19|40
9/5/1949|1949-09-05|69
9/11/1991|1991-09-11|27
4/9/1998|1998-04-09|20
9/23/1990|1990-09-23|28
3/9/1978|1978-03-09|40
8/17/1993|1993-08-17|25
5/6/2016|2016-05-06|2
10/30/2006|2006-10-30|12
6/11/1961|1961-06-11|57
11/2/1997|1997-11-02|21
5/11/2007|2007-05-11|11
6/20/1995|1995-06-20|23
8/29/1934|1934-08-29|84
7/26/2004|2004-07-26|14
8/30/1949|1949-08-30|69
10/17/1952|1952-10-17|66
1/25/1993|1993-01-25|25
12/24/1956|1956-12-24|62
6/26/1988|1988-06-26|30
8/20/1982|1982-08-20|36
5/9/1961|1961-05-09|57
1/14/2016|2016-01-14|2
4/26/1989|1989-04-26|29
1/26/1940|1940-01-26|78
6/4/1970|1970-06-04|48
5/10/1946|1946-05-10|72
1/25/1971|1971-01-25|47
10/30/1985|1985-10-30|33
12/16/1936|1936-12-16|82
7/22/1976|1976-07-22|42
4/12/1992|1992-04-12|26
5/16/1980|1980-05-16|38
9/26/1983|1983-09-26|35
12/7/1949|1949-12-07|69
10/17/1934|1934-10-17|84
5/25/1939|1939-05-25|79
12/28/1948|1948-12-28|70
7/1/1972|1972-07-01|46
4/15/1985|1985-04-15|33
12/15/1941|1941-12-15|77
9/23/1936|1936-09-23|82
6/12/1967|1967-06-12|51
11/18/1992|1992-11-18|26
1/7/2015|2015-01-07|3
11/8/1977|1977-11-08|41
2/27/2011|2011-02-27|7
1/15/1972|1972-01-15|46
8/30/1962|1962-08-30|56
6/4/1955|1955-06-04|63
11/27/2009|2009-11-27|9
8/5/1999|1999-08-05|19
12/5/1957|1957-12-05|61
8/21/2013|2013-08-21|5
6/24/1945|1945-06-24|73
8/19/1937|1937-08-19|81
2/1/1993|1993-02-01|25
1/26/1955|1955-01-26|63
1/20/2001|2001-01-20|17
3/22/1998|1998-03-22|20
6/5/1978|1978-06-05|40
12/20/1968|1968-12-20|50
9/7/1973|1973-09-07|45
3/30/1989|1989-03-30|29
1/21/1954|1954-01-21|64
1/3/1980|1980-01-03|38
11/9/1982|1982-11-09|36
5/12/1954|1954-05-12|64
12/5/1994|1994-12-05|24
7/30/1982|1982-07-30|36
12/6/1990|1990-12-06|28
2/8/2001|2001-02-08|17
2/20/2017|2017-02-20|1
3/6/2002|2002-03-06|16
11/10/1990|1990-11-10|28
11/5/1941|1941-11-05|77
6/2/1945|1945-06-02|73
4/1/2003|2003-04-01|15
4/23/1966|1966-04-23|52
12/17/1958|1958-12-17|60
2/20/1940|1940-02-20|78
6/13/1963|1963-06-13|55
6/6/2015|2015-06-06|3
4/17/2005|2005-04-17|13
1/25/1985|1985-01-25|33
4/15/1973|1973-04-15|45
9/23/2010|2010-09-23|8
4/18/1990|1990-04-18|28
7/16/1952|1952-07-16|66
5/28/1987|1987-05-28|31
9/26/1949|1949-09-26|69
1/20/1996|1996-01-20|22
2/19/2007|2007-02-19|11
8/6/1938|1938-08-06|80
1/25/1939|1939-01-25|79
11/9/1986|1986-11-09|32
9/13/1936|1936-09-13|82
3/30/1970|1970-03-30|48
4/12/1986|1986-04-12|32
8/5/1940|1940-08-05|78
4/3/1951|1951-04-03|67
8/7/2010|2010-08-07|8
3/18/1994|1994-03-18|24
5/7/1935|1935-05-07|83
9/21/2010|2010-09-21|8
3/24/1947|1947-03-24|71
3/19/1966|1966-03-19|52
11/18/2015|2015-11-18|3
9/26/1976|1976-09-26|42
9/5/2010|2010-09-05|8
4/12/1995|1995-04-12|23
8/24/1975|1975-08-24|43
4/13/1966|1966-04-13|52
4/29/1969|1969-04-29|49
4/24/2005|2005-04-24|13
4/2/1934|1934-04-02|84
3/16/1966|1966-03-16|52
6/7/1968|1968-06-07|50
1/27/1980|1980-01-27|38
4/27/1948|1948-04-27|70
2/17/1960|1960-02-17|58
3/12/1970|1970-03-12|48
8/5/1987|1987-08-05|31
1/30/1947|1947-01-30|71
11/18/1939|1939-11-18|79
8/14/1968|1968-08-14|50
10/17/2006|2006-10-17|12
10/5/1991|1991-10-05|27
3/28/1936|1936-03-28|82
5/24/1999|1999-05-24|19
8/9/2016|2016-08-09|2
6/14/2004|2004-06-14|14
5/8/1967|1967-05-08|51
1/21/2005|2005-01-21|13
12/6/1958|1958-12-06|60
3/14/2013|2013-03-14|5
8/23/1948|1948-08-23|70
2/4/1953|1953-02-04|65
2/3/2015|2015-02-03|3
8/2/1987|1987-08-02|31
6/7/2006|2006-06-07|12
11/25/1938|1938-11-25|80
7/30/1953|1953-07-30|65
12/18/1985|1985-12-18|33
11/17/1981|1981-11-17|37
9/15/1964|1964-09-15|54
3/12/1966|1966-03-12|52
3/18/1970|1970-03-18|48
7/13/1969|1969-07-13|49
7/20/1976|1976-07-20|42
5/28/1959|1959-05-28|59
2/2/1964|1964-02-02|54
3/29/1959|1959-03-29|59
9/28/1968|1968-09-28|50
7/8/1946|1946-07-08|72
8/3/1956|1956-08-03|62
5/1/1952|1952-05-01|66
12/11/2017|2017-12-11|1
2/7/1942|1942-02-07|76
2/18/1971|1971-02-18|47
8/17/2011|2011-08-17|7
9/24/1981|1981-09-24|37
3/1/1988|1988-03-01|30
11/19/1949|1949-11-19|69
2/6/1942|1942-02-06|76
8/6/1993|1993-08-06|25
12/9/2006|2006-12-09|12
6/19/1985|1985-06-19|33
4/2/1935|1935-04-02|83
10/6/1991|1991-10-06|27
3/23/1997|1997-03-23|21
2/6/1989|1989-02-06|29
2/11/1981|1981-02-11|37
2/4/1935|1935-02-04|83
11/7/1964|1964-11-07|54
8/20/1985|1985-08-20|33
11/14/1954|1954-11-14|64
4/21/1946|1946-04-21|72
9/17/2013|2013-09-17|5
8/22/1949|1949-08-22|69
4/3/1999|1999-04-03|19
11/5/1950|1950-11-05|68
10/27/1956|1956-10-27|62
5/24/1959|1959-05-24|59
9/21/1976|1976-09-21|42
10/27/1954|1954-10-27|64
1/29/1988|1988-01-29|30
2/25/1957|1957-02-25|61
8/12/2007|2007-08-12|11
8/6/1979|1979-08-06|39
11/14/1966|1966-11-14|52
4/28/1985|1985-04-28|33
8/1/2014|2014-08-01|4
6/22/1991|1991-06-22|27
10/7/1991|1991-10-07|27
11/28/1996|1996-11-28|22
11/16/1995|1995-11-16|23
4/29/2008|2008-04-29|10
10/24/2007|2007-10-24|11
5/6/1990|1990-05-06|28
6/21/1986|1986-06-21|32
3/22/1948|1948-03-22|70
1/7/2017|2017-01-07|1
10/5/1934|1934-10-05|84
5/1/1996|1996-05-01|22
1/16/1984|1984-01-16|34
6/15/1997|1997-06-15|21
4/24/2002|2002-04-24|16
4/27/1940|1940-04-27|78
8/18/2003|2003-08-18|15
7/1/1936|1936-07-01|82
8/17/2015|2015-08-17|3
6/20/1960|1960-06-20|58
6/2/1968|1968-06-02|50
4/21/1961|1961-04-21|57
6/24/1974|1974-06-24|44
11/20/2017|2017-11-20|1
4/4/1956|1956-04-04|62
8/13/1938|1938-08-13|80
6/17/1959|1959-06-17|59
4/12/1966|1966-04-12|52
10/2/1991|1991-10-02|27
10/4/2016|2016-10-04|2
7/19/1946|1946-07-19|72
10/4/1935|1935-10-04|83
4/16/1951|1951-04-16|67
5/28/1995|1995-05-28|23
12/18/2006|2006-12-18|12
3/28/1994|1994-03-28|24
12/28/2006|2006-12-28|12
12/5/1988|1988-12-05|30
10/28/1980|1980-10-28|38
8/27/1964|1964-08-27|54
12/28/1973|1973-12-28|45
4/11/1947|1947-04-11|71
7/16/2017|2017-07-16|1
1/5/1973|1973-01-05|45
6/18/1968|1968-06-18|50
6/14/1981|1981-06-14|37
3/8/1959|1959-03-08|59
12/18/1967|1967-12-18|51
8/13/1996|1996-08-13|22
5/27/1998|1998-05-27|20
10/22/1998|1998-10-22|20
12/10/2011|2011-12-10|7
1/11/1991|1991-01-11|27
11/24/1961|1961-11-24|57
4/29/1948|1948-04-29|70
12/16/1965|1965-12-16|53
5/25/1958|1958-05-25|60
1/17/1990|1990-01-17|28
10/20/1992|1992-10-20|26
11/27/1943|1943-11-27|75
2/27/1962|1962-02-27|56
9/13/1958|1958-09-13|60
9/18/1934|1934-09-18|84
11/14/1933|1933-11-14|85
7/10/1943|1943-07-10|75
7/23/1965|1965-07-23|53
11/25/2004|2004-11-25|14
5/4/2007|2007-05-04|11
7/1/1964|1964-07-01|54
1/2/1956|1956-01-02|62
3/30/1983|1983-03-30|35
11/17/1993|1993-11-17|25
5/28/2011|2011-05-28|7
8/1/2008|2008-08-01|10
6/29/2016|2016-06-29|2
11/10/1970|1970-11-10|48
7/20/1966|1966-07-20|52
3/14/1978|1978-03-14|40
10/24/2014|2014-10-24|4
9/22/1959|1959-09-22|59
11/20/1940|1940-11-20|78
11/9/1964|1964-11-09|54
9/12/1951|1951-09-12|67
2/4/1970|1970-02-04|48
2/15/2016|2016-02-15|2
12/26/1941|1941-12-26|77
4/17/1962|1962-04-17|56
8/8/1948|1948-08-08|70
